date,code,open,high,low,close,volume,amount,pctChg,turn,peTTM,pbMRQ
2025-11-10,sh.600033,3.67,3.72,3.65,3.7,49305055,181739943.97,0.8174,1.7966,12.549321,0.816757
2025-11-10,sh.600327,4.85,4.9,4.83,4.9,13984332,68252418.96,1.4493,1.5805,269.654777,1.367832
2025-11-10,sh.600337,2.32,2.42,2.28,2.41,54722402,129653430.61,4.329,3.8081,-5.383908,1.377849
2025-11-10,sh.600400,2.59,2.68,2.59,2.67,76094668,202261328.56,2.6923,3.3209,-13.295176,2.623128
2025-11-10,sh.600533,2.87,2.91,2.8,2.9,36660704,105468682.48,0.6944,3.4915,-4.040019,0.944935
2025-11-10,sh.600561,7.46,7.48,7.37,7.42,5508000,40915891.0,-0.4027,1.9362,11901.18769,2.330767
2025-11-10,sh.600742,10.1,10.13,9.94,10.01,7485738,74755143.92,-0.9891,1.0074,14.868345,0.85704
2025-11-10,sh.600755,6.53,6.71,6.5,6.66,47466111,314759996.41,1.6794,2.2262,29.006296,0.724218
2025-11-10,sh.601818,3.44,3.5,3.43,3.49,289110677,1004694007.68,1.1594,0.623,5.116838,0.4146
2025-11-10,sh.601969,11.16,11.65,10.82,11.21,145883418,1663412853.18,5.8546,7.3591,47.420378,3.18078
2025-11-10,sh.603032,22.75,23.98,22.52,22.61,20006960,463342194.2,-0.0442,8.6362,-40.537895,4.644628
2025-11-10,sh.603137,14.5,14.54,14.42,14.47,1053200,15229824.0,-0.0691,1.4284,50.009777,2.12912
2025-11-10,sh.603351,28.69,29.56,28.69,29.17,1390680,40691067.6,1.6022,1.0268,26.768485,2.245887
2025-11-10,sh.603456,19.35,19.88,19.2,19.87,24577514,479983913.22,2.2645,2.7632,24.448701,2.01861
2025-11-10,sh.603515,17.89,18.04,17.71,18.03,1241874,22266094.52,1.1217,0.1687,15.623216,2.014009
2025-11-10,sh.603587,12.89,12.99,12.83,12.96,2152500,27844363.6,0.6211,0.454,23.583778,1.704211
2025-11-10,sh.603811,11.65,11.73,11.65,11.71,4738343,55386732.87,0.515,1.4477,16.932721,2.899151
2025-11-10,sh.603909,11.85,11.9,11.6,11.73,7143769,83546006.75,-1.7588,2.7405,28.042024,2.720821
2025-11-10,sh.605180,15.73,15.74,15.5,15.57,1446738,22550795.92,-0.3201,0.8561,98.475571,2.301842
2025-11-10,sh.605268,10.39,10.56,10.39,10.54,4135100,43467594.0,1.4437,0.9447,26.544369,2.803595
2025-11-10,sz.000025,18.27,18.43,18.17,18.42,12208596,223476855.67,0.8762,3.1083,52.187497,4.393155
2025-11-10,sz.000663,7.83,7.9,7.5,7.71,37263101,285494018.6,-1.2804,12.1655,-39.513371,2.591643
2025-11-10,sz.000701,6.1,6.34,6.07,6.29,31608103,196446385.56,2.7778,4.7346,-6.419394,-8.398566
2025-11-10,sz.000751,4.09,4.23,4.07,4.14,76625943,318465360.99,1.7199,5.435,97.708035,1.855596
2025-11-10,sz.000798,8.3,8.4,8.24,8.4,5698180,47656304.4,1.4493,1.5576,-46.015568,7.504357
2025-11-10,sz.000863,4.27,4.34,4.21,4.25,33688244,143879551.02,-0.4684,2.8951,-129.926814,1.11583
2025-11-10,sz.000889,4.0,4.04,3.94,3.97,20944040,83402943.2,-0.9975,2.4078,-89.197133,52.370105
2025-11-10,sz.002012,5.98,6.02,5.96,5.97,7517000,45016920.0,-0.3339,1.6104,574.728302,1.809893
2025-11-10,sz.002030,6.58,6.75,6.58,6.71,22749487,152349458.53,1.8209,1.621,-16.698367,1.216572
2025-11-10,sz.002035,6.44,6.5,6.42,6.49,9036799,58443018.04,0.9331,1.1585,12.598526,1.415699
2025-11-10,sz.002399,12.19,12.39,12.18,12.37,3655420,45046887.2,0.8972,0.2931,43.194428,1.467339
2025-11-10,sz.002412,6.62,6.7,6.58,6.68,8714460,58057204.2,0.9063,1.7504,19.540997,1.486792
2025-11-10,sz.002430,28.9,29.27,27.77,28.02,21151139,596538188.34,-3.045,2.1634,27.294715,2.834781
2025-11-10,sz.002462,14.68,14.84,14.56,14.74,5612900,82751816.0,0.4087,1.9257,60.538376,0.973154
2025-11-10,sz.002465,11.8,12.09,11.75,11.82,57060183,678125043.99,0.5957,2.3028,-95.566964,2.438278
2025-11-10,sz.002551,4.0,4.06,4.0,4.05,14765444,59630806.76,1.5038,2.4159,-124.198087,1.321109
2025-11-10,sz.002578,4.1,4.31,4.02,4.19,146262404,611966979.76,1.9465,16.9843,-249.019489,2.590186
2025-11-10,sz.002589,2.98,3.01,2.96,2.99,26678627,79736371.46,1.0135,1.9536,-52819.364894,0.841112
2025-11-10,sz.002614,7.09,7.15,7.05,7.14,8269400,58952602.66,0.5634,1.8751,64.98067,1.030656
2025-11-10,sz.002629,8.55,8.87,8.42,8.46,19282850,166197500.5,-0.4706,4.5554,1007.236137,100.661087
2025-11-10,sz.002755,18.66,18.89,18.5,18.8,11982014,224286695.76,1.4571,1.291,68.004796,5.444722
2025-11-10,sz.002763,7.6,7.61,7.48,7.61,4453420,33714514.2,0.5284,1.4669,39.874221,1.671385
2025-11-10,sz.002773,31.15,31.8,31.1,31.6,6391434,200880239.7,1.4446,0.9306,23.283064,3.17615
2025-11-10,sz.002788,9.56,10.57,9.3,10.25,54510176,551248638.19,6.6597,14.2774,12.931027,1.229084
2025-11-10,sz.002846,17.75,17.9,17.53,17.72,7893319,139701154.46,0.0,3.0711,-1161.108205,5.267423
2025-11-10,sz.002930,10.78,10.88,10.72,10.82,4717784,50978899.66,0.1852,1.0896,-96.949851,2.121332
2025-11-10,sz.002963,17.0,17.07,16.8,16.83,3670000,62090355.08,-1.0,3.2133,-11.942396,1.959061
2025-11-10,sz.300062,11.01,11.84,10.55,11.12,202332881,2234095041.06,-2.2847,52.402,-90.83861,5.127821
2025-11-10,sz.300173,6.11,6.14,6.02,6.03,29418600,178023894.0,-1.4706,4.004,78.378557,4.583455
2025-11-10,sz.300254,10.78,10.93,10.76,10.88,5810000,63162300.0,1.4925,2.5894,136.830754,9.471078
2025-11-10,sz.300299,6.64,6.88,6.62,6.81,31138861,211380030.05,2.7149,4.518,-45.145237,10.935672
2025-11-10,sz.300463,11.92,12.02,11.88,12.0,4773400,57191227.0,0.9251,0.9706,-61.772266,1.146991
2025-11-10,sz.300577,23.9,24.39,23.8,24.39,1833407,44415328.7,2.0929,1.3122,17.298361,2.682634
2025-11-10,sz.300639,5.92,5.99,5.88,5.99,7835625,46719767.52,1.5254,1.2336,-7.438005,1.008256
2025-11-10,sz.300702,25.19,25.32,25.01,25.3,1821298,45833062.35,0.4367,0.8625,45.912091,2.366433
2025-11-10,sz.300845,11.75,11.84,11.68,11.71,3253868,38152443.34,-0.0853,2.2593,48.515767,3.005667
2025-11-10,sz.300981,13.41,13.59,13.33,13.58,3048057,41210734.15,1.2677,0.7755,-40.062818,1.084801
